names;tag
01.14 Stefaan Van Hecke (Ecolo-Groen);NAME
01.16 Jinnih Beels (Vooruit);NAME
04.03 Minister Tinne Van der Straeten;NAME
03.08 Bert Wollants (N-VA);NAME
03.05 Stefaan Van Hecke (Ecolo- Groen);NAME
13.03 Marijke Dillen (VB);NAME
01.51 François De Smet (DéFI);NAME
01.13 Joris Vandenbroucke (Vooruit);NAME
16.03 Katja Gabriëls (Open Vld);NAME
01.21 Nabil Boukili (PVDA-PTB);NAME
02.02 Bert Wollants (N-VA);NAME
01.01 Pierre-Yves Dermagne, ministre;NAME
01.17 Pierre-Yves Dermagne, ministre;NAME
PTB);NAME
01.15 Staf Aerts (Ecolo-Groen);NAME
07.05 Julie Taton (MR);NAME
05.02 Hadja Lahbib, ministre;NAME
01.06 Tine Gielis (cd&v);NAME
01.03 Kurt Ravyts (VB);NAME
06.03 Bert Wollants (N-VA);NAME
06.07 Nathalie Muylle (cd&v);NAME
01.30 Vincent Van Quicken- borne (Open Vld);NAME
01.01 Alexander De Croo (Open Vld);NAME
13.01 Marijke Dillen (VB);NAME
01.06 Jinnih Beels (Vooruit);NAME
21.03 Sarah Schlitz (Ecolo- Groen);NAME
06.09 Khalil Aouasti (PS);NAME
01.28 Tine Gielis (cd&v);NAME
04.01 Kurt Ravyts (VB);NAME
11.03 Marijke Dillen (VB);NAME
21.08 Stefaan Van Hecke (Ecolo-Groen);NAME
01.10 Pierre-Yves Dermagne, ministre;NAME
06.01 Marijke Dillen (VB);NAME
10.02 Minister Paul Van Tigchelt;NAME
16.02 François De Smet (DéFI);NAME
01.32 François De Smet (DéFI);NAME
01.07 Staf Aerts (Ecolo-Groen);NAME
06.18 Youssef Handichi (MR);NAME
01.03 Britt Huybrechts (VB);NAME
05.03 Bert Wollants (N-VA);NAME
04.02 Minister Paul Van Tigchelt;NAME
06.13 Pierre-Yves Dermagne, ministre;NAME
07.01 Anne Pirson (Les Engagés);NAME
03.03 Bert Wollants (N-VA);NAME
09.02 Minister Vincent Van Peteghem;NAME
07.03 David Clarinval, ministre;NAME
10.02 Jinnih Beels (Vooruit);NAME
01.09 Werner Somers (VB);NAME
01.01 Sofie Merckx (PVDA-PTB);NAME
05.01 Peter Mertens (PVDA-PTB);NAME
02.05 Kurt Ravyts (VB);NAME
01.08 Frank Troosters (VB);NAME
13.02 Minister Paul Van Tigchelt;NAME
01.07 Tine Gielis (cd&v);NAME
Robin Tonniau (PVDA- PTB);NAME
06.05 Bert Wollants (N-VA);NAME
21.02 Sofie Merckx (PVDA-PTB);NAME
Het Bureau wordt aangevuld met (art. 3, nr. 2, Rgt);MISTAKE
01.31 Steven Coenegrachts (Open Vld);NAME
11.02 Minister Paul Van Tigchelt;NAME
01.05 Éric Thiébaut (PS);NAME
01.07 Anja Vanrobaeys (Vooruit);NAME
01.17 Georges Gilkinet, ministre;NAME
12.03 Marijke Dillen (VB);NAME
04.06 Christophe Lacroix (PS);NAME
Voilà la réponse du parquet de Bruxelles. 08.03 Marijke Dillen (VB);MISTAKE
01.02 Sofie Merckx (PVDA-PTB);NAME
16.01 Dieter Vanbesien (Ecolo-Groen);NAME
01.09 Vincent Van Quickenborne (Open Vld);NAME
03.01 Alexander Van Hoecke (VB);NAME
04.04 Hadja Lahbib, ministre;NAME
01.04 Jean-Luc Crucke (Les Engagés);NAME
02.09 Jean-Luc Crucke (Les Engagés);NAME
01.12 Kjell Vander Elst (Open Vld);NAME
03.06 Jean-Luc Crucke (Les Engagés);NAME
01.01 Katja Gabriëls (Open Vld);NAME
03.07 Barbara Pas (VB);NAME
06.08 Meyrem Almaci (Ecolo-Groen);NAME
De voorzitter;NAME
01.29 Rajae Maouane (Ecolo-Groen);NAME
01.05 Xavier Dubois (Les Engagés);NAME
21.05 Nabil Boukili (PVDA-PTB);NAME
11.01 Marijke Dillen (VB);NAME
04.03 Els Van Hoof (cd&v);NAME
16.05 Caroline Désir (PS);NAME
01.13 François De Smet (DéFI);NAME
21.08 Stefaan Van Hecke (Ecolo- Groen);NAME
04.05 Bert Wollants (N-VA);NAME
Le président;NAME
01.05 Joris Vandenbroucke (Vooruit);NAME
01.38 Minister Vincent Van Peteghem;NAME
21.06 Nabil Boukili (PVDA-PTB);NAME
04.05 Rajae Maouane (Ecolo-Groen);NAME
12.01 Marijke Dillen (VB);NAME
08.02 Minister Paul Van Tigchelt;NAME
06.03 Axel Ronse (N-VA);NAME
01.48 Nathalie Muylle (cd&v);NAME
01.08 Werner Somers (VB);NAME
03.04 Katja Gabriëls (Open Vld);NAME
05.01 Bert Wollants (N-VA);NAME
02.08 Bert Wollants (N-VA);NAME
06.20 Meyrem Almaci (Ecolo-Groen);NAME
04.03 Raoul Hedebouw (PVDA- PTB);NAME
01.19 Khalil Aouasti (PS);NAME
04.01 Barbara Pas (VB);NAME
21.04 Katja Gabriëls (Open Vld);NAME
01.21 Ismaël Nuino (Les Engagés);NAME
01.04 Sofie Merckx (PVDA-PTB);NAME
01.11 Minister Vincent Van Peteghem;NAME
01.46 Jean-Luc Crucke (Les Engagés);NAME
01.01 Kurt Ravyts (VB);NAME
06.12 Robin Tonniau (PVDA-PTB);NAME
01.28 Meyrem Almaci (Ecolo-Groen);NAME
04.05 Katja Gabriëls (Open Vld);NAME
03.02 Kurt Ravyts (VB);NAME
01.04 Stefaan Van Hecke (Ecolo-Groen);NAME
01.11 Vincent Van Peteghem, ministre;NAME
09.01 Alexander Van Hoecke (VB);NAME
01.26 Kjell Vander Elst (Open Vld);NAME
01.07 Katja Gabriëls (Open Vld);NAME
01.03 Sarah Schlitz (Ecolo- Groen);NAME
07.02 Minister Paul Van Tigchelt;NAME
